text,label
"Nem sábado o povo da minha sala para de falar de matéria, haja saúde mental",1
"Como assim o mesmo tema amore??? K-12 fala sobre rivalidade feminina, bulimia, traição, pedófilia, assédio, padrão de beleza, indústria da música, pressão para lançar álbuns, saúde mental, entre outras coisas. Cry baby fala sobre relacionamento abusivo, bullying, família que são+",1
Queria ninha saúde mental de volta,1
minha saude mental vai de ruim p pior,1
"a saúde mental dela afeta todo mundo dentro de casa e ninguém tem o direto de surtar ou chorar só ela, minha paz é ir pra escola ou pra minha vó pq são os únicos momentos q eu não fico em casa",1
Setembro Amarelo: Como as finanças afetam a sua saúde mental  https://pretagrana.com/2019/09/28/setembro-amarelo-como-as-financas-afetam-a-sua-saude-mental/ … pic.twitter.com/QD8b0qY42I,0
"Minha saúde mental é tão ruim , que certamente me jogaria dali  https://twitter.com/worldbzl/status/1177402906171101185 …",1
"Custei p entender e aceitar q nem tudo é como a gnt quer, e algumas pessoas são o contrário daquilo q dizem... Custou a mnh paz, mnh saúde mental e até msm a mnh felicidade, mas eu só agradeço a Deus por ser diferente desses tipos de pessoa, pq eu sei o qnto isso é ruim! 👍🏻🍃🕊️",1
eu tenho um joguinho de comida muito besta no meu celular. mas ele acaba com a minha saúde mental aaaaaaaaaa,0
"Tô precisando espairecer um pouco, pensar um pouco, ver oq é melhor pra mim, pensar um pouco na minha saúde mental ☹️",1
"Parece que tem mil provas veeeeei, TO PRECISANDO DE SAÚDE MENTAL, ALGUÉM TEM DE SOBRA?",1
RT luanediaas: RT luanediaas: Nada vale sua paz  priorize sua saúde mental !,0
"eu preciso parar de me importar com isso e voltar a cuidar a minha saúde mental, eu estava bem pra caralho e agora tô (???)",1
Muito nojo dessa história. Nao podemos confiar em mais ninguém. Eles acabaram com a saúde mental da garota que tem apenas 14 anos. Onde vamos parar? E a justiça brasileira falhando como sempre. A mãe da amiga da vítima esta em liberdade.  https://twitter.com/garciavsxx/status/1178033830944485376 …,1
O único motivo pra que essas taxas de mulheres com tantos problemas com a saúde mental depois de um aborto serem “tão altas” ( se elas realmente forem reais já que não possui fonte de pesquisa)são que pessoas como você insistem em chama-lás de assassinas! #legalizaroaborto https://twitter.com/anthony92477197/status/1178028314629410816 …,1
No intervalo do curso Saúde Mental e Esquizofrenia um homem de certa idade abre o áudio do gemidão. Já tava com muito tempo que não ouvia. O legal é que pouca gente riu com empatia pela situação. Teve mulher olhando. O homem ficou se explicando. O auge.,0
"Mann,  o meu plano para essa tarde era estudar para prova... Porém,  lembrei que preciso cuidar da minha saúde mental e física.  Então eu li algumas paginas do meu livro favorito e dormi!",0
Tem que ter uma saúde mental muito boa pra não ficar doida nessa casa,1
"Confesso que essa psicóloga aí eu comia, ainda mais que deve ter problemas com saúde mental.",0
minha saúde mental mandou um abraço,1
melhor assim pq se eu continuasse com isso so iria ferrar a minha saúde mental inexistente,1
peralta mijou no meu último cobertor  e hoje mijou no meu quarto de novo........ alguem chama a luisa honey pq eu vou matar um gato hoje,0
"Custei p entender e aceitar q nem tudo é como a gnt quer, e algumas pessoas são o contrário daquilo q dizem... Custou a mnh paz, mnh saúde mental e até msm a mnh felicidade, mas eu só agradeço a Deus por hoje ter me livrado de certos tipos de situações e só peço PAZ!!!!",1
Christian Dunker: como está a saúde mental dos estudantes?  https://youtu.be/l7KyYEeFUYQ?list=UURuy5PigeeBuecKnwqhM4yg … via @YouTube,0
a minha saúde mental em perfeitas condições.  https://twitter.com/FrasesDeRenato/status/1178021568921964546 …,0
Mente que nem sente https://twitter.com/Drake/status/1177811690810789888 …,0
"Não abra mão da sua saúde mental por ninguém, nem por relacionamento, nem por família, nem por amigos,. Você é a única pessoa que realmente sabe o seu limite, é tua responsa não deixar ninguém ultrapassa-lo se coloque em primeiro lugar.",1
A saúde mental melhora muito quando a gente aprende a arte da aceitação,1
saúde mental vem em primeiro lugar,0
"Final da aula de física e sobrou café, quer dizer que a aula foi boa pic.twitter.com/cdLle2IG6W",0
A minha saúde mental acaba quando chego na escola,1
Os 50 mil e mta grana mas a minha saúde mental tava ferrada e eu não aguentava e eu vou sofrer pra pegar mas pelo menos eu vou tá boa pq eu tava tão mal mentalmente q EU parei no hospital com 40 graus d febre interna pq tive reação a vacina e eu nunca tive isso na minha vida,1
"às vezes eu sinto vontade de fazer tudo ao mesmo tempo, às vezes eu só quero desistir de tudo e ficar de boas.   minha saúde mental é a coisa mais valiosa que existe. e sou capaz de tudo pra eu ficar bem. eu já me desfiz de amizades já deixei de fazer muita coisa que eu odiava.",1
Juntei o útil ao agradável kkkkk,0
"Comecei a ler Um crime da solidão ontem do Andrew Solomon e não consigo largar. Leitura obrigatória pra todo mundo. Sobre suicídio, saúde mental, depressão. Urgente demais. Depois vou postar minhas impressões no IG de livro  http://instagram.com/oqueliporai  ❤️ pic.twitter.com/rI4z7Zk1oF",0
eu to no meu pior momento c minha saude mental,1
Tl cheia de moments larry está perigosíssima pra minha saúde mental,0
vo faze skincare pois a pele tem que ta intacta se a saúde mental tá um lixo,1
"Se livrem do q faz mal a vocês!!!!! Carregar peso a troco de nada e atoa é maluquice!!!  Prezem pela boa saúde mental, é necessário! 🙏🏽",0
"oi @uff_br, saúde mental também perpassa garantia de assistência estudantil hein, e não desviando 25 milhões da verba do PNAES",0
Haja saúde mental,0
"pois ainda vou assistir série, comer pipoca e irritar minha prima, muito despreocupada e talvez eu estude mais tarde, não é questão de jogar tudo pro alto não, é questão de saúde mental pq porra estudei a semana toda igual uma sei lá oq eu mereço no mínimo descansar sério",1
A única prioridade que eu dou é pra minha saúde mental e sem mais,0
"Gabriel, falamos exclusivamente do Habbonitos e de todos FS que estão com essa conduta.   O foco é apenas entender que isso está errado, aprender e começar o que realmente importa: Focar em saúde mental (se esse é o propósito).  Só se importamos com isso! ♡",0
"por volta 13/12 anos. Daí veio meu ex e roubou não só a minha saúde mental, mas também meu amigo :"")",1
"bloqueei o mlk em tudo pq ele fode com minha saúde mental e ele pega a rede social do colega p me mandar mensagem, EU NAO AGUENTO MAIS",1
"AMANDO MAIS QUE TUDO esse módulo!  Saúde mental e obstetrícia, as duas a 120km/h pra ver quem me ganha",0
mostra p ela q o curso ta destruindo a saude mental dela aos poucos  conversa direitinho q da certo,1
meu hobbie eh me fazer de sonsa seja pra entretenimento pessoal de irritar as pessoas fazendo elas explicarem tudo pra mim ou preservação da saúde mental pq sério n tá dando,1
"desfiz a amizade com a minha saúde mental, é isto  https://twitter.com/Sunshine054111/status/1177938035926867968 …",1
Eu vejo que cuidar da minha saúde mental tá cada dia mais importante quando é a 3 treta da semana que vejo todo mundo comentando que aconteceu mas nem chegou na minha TL pois ocupado com coisas mais interessantes...  Realmente as feias que lutem ✨  pic.twitter.com/iwXJ2ZSjPc,1
Um cérebro bem equilibrado e desenvolvido faz milagres! 😍 Vamos ampliar nossa consciência? ___________________________ #mudança #vida #empatia #felicidade #saude #amor #qualidadedevida #saudemental…  https://www.instagram.com/p/B293F6WgsEL/?igshid=1j5vxlqrl5m9e …,0
"cmo q eu consigo perdoar as coisas cara? a pessoa vacilou dnv cmg e eu to aq, pra ela, mano, só sei q to sem saude mental e essas coisarada",1
Saúde mental é fundamental,0
o negócio é fingir de sonso e preservar sua saúde mental,0
Ruim q ora julgar eles apareceram mas eles ignoravam qdo via q a faculdade tava acabando com a minha saúde mental,1
"Tenho bom relacionamentos com meus pais, amigos e vontade de viver.   Ser sóbrio e ter saúde mental eh algo que nem lembro como é  https://twitter.com/oemputecido/status/1177737469732823040 …",1
"unfollow no ex pra preservar sua saúde mental é essencial, amores",1
pensando na saude mental da pessoa q falou bom eu vou desenhar o chaves com um cuzaço aqui nao tem nada de mais nisso,0
ontem passei o dia todo fora pq n aguento mainha. hj ela acordou do mesmo jeito. NÃO TEM COMO EU TER UMA SAÚDE MENTAL EQUILIBRADA MORANDO COM ELA,1
"lembrem-se que sua saúde mental vem em primeiro lugar, cuidem-se e não deixe ninguém interferir em suas escolhas 💜💜💜💜",0
Mais um passo dado para minha saúde mental,0
MINHA SAÚDE MENTAL EM PRIMEIRO LUGAR SEMPRE!!!!!!!!!!!,0
como falar pro seu namorado que você tem: depressão  auto-estima baixa saúde mental horrivel  bipolaridade  e ansiedade? sem ele dizer depois que é frescura?  google pesquisar,1
prioridade : saúde mental,1
"Tá,mas o que custava minha vida ser de boa,sem peso de nada,com a paz do mundo e minha saúde mental em dia??????????",1
Hoje estamos realizando o III Encontro Elas SobreOTatame com o tema Saúde Mental. #ElasSoT pic.twitter.com/2X0hOAm0RV,0
"Obg anjinho, vou estudar e cuidar da minha saúde mental 👉🏻👈🏻❤️",0
Minha saúde mental vale bem mais,0
Nada e nem ninguém vale a minha saúde mental .,0
"poxa jaloo :( naooo :( mas terei que compreender né?! eu to num vicio TÃO GRANDE com o seu último álbum, “say goodbye” é a minha #1 do momento de todas as musicas. sua música é vida. fala cmg. tenta se cuidar, saúde mental e volte quando estiver pronto ♡",1
"fica bem amor, sua saúde mental eh mt importante eu ja passei por isso, e sei q vai ficar td bem msm",1
"Um dia de self care nada mais é do que um dia que vc tira pra cuidar não só da sua estética, mas sim cuidar de você mesma (o) como um todo, inclusive saúde mental! self care= amor próprio, cuidar de você em ambas as partes, mente e estética.",0
Cancelar o rolê pra perder mais saúde mental com trabalho. E tem outra opção?,1
to na tpm qualquer raivinha e qualquer tristeza já tá me fazendo perder o meu resto de saúde mental,1
"Parabéns pra pessoa que mais iludi esse fandom com AU e fanfics Espero que tu ganhe muito dinheiro, paz e saude mental nesse novo ciclo.  pic.twitter.com/HdFxnaq0RK",0
"alguns pessoas então comentando que ela tá meio pra baixo mas pode ser apenas teoria, eu não sei o que eu achei do vídeo em si mas eu sempre me preocupo com a saúde mental dela. Eu espero que ela esteja bem 💗",1
Nada vale sua paz  priorize sua saúde mental !,0
cada dia uma palavra nova pra silenciar nesta rede pela minha saúde mental,1
"Simmm? Fica se humilhando com bosta, eu sempre dou o block do que gastar saúde mental com isso",0
"só queria uma vitoria hoje, minha saúde mental ta fodida dms",1
"Te falar, eu amo meu irmão, mas tá foda segurar a barra dele, não estou tendo mais psicológico nem saúde mental. Quero ajudar mas ele não me ajuda, no final quem está se definhando sou eu.",1
"ai, nd vale mais doq a sua saúde mental, blz🖒",0
"quero saber que consegue ser feliz, fazendo faculdade, minha saúde mental já não existe mais",1
Não vai ter eu com saúde mental boa de novo  https://twitter.com/igordantas219/status/1009946339424301057 …,1
"Os cachorros e minha gata tudo ocupando meu quarto, isso é a forma deles protestarem contra as vacinas.",0
afetar negativamente minha saúde mental  caralho MAIS?????  https://twitter.com/bill_lanches/status/1178022783466577920 …,1
"meu deus ainda bem que eu me afastei, obrigada por ter aberto meu olho antes que fosse tarde e minha saúde mental acabasse de uma vez",1
Christian Dunker: como está a saúde mental dos estudantes?  https://youtu.be/l7KyYEeFUYQ?list=UURuy5PigeeBuecKnwqhM4yg … via @YouTube,0
válido também pra quando o que te impede de sair ou se divertir com amigos é a sua saúde mental  https://twitter.com/judruta/status/1177710123646701569 …,1
Tudo em pro da minha saúde mental,1
Defensores da saúde mental dos pais dizem que chupeta é a melhor invenção da humanidade.,0
"Chegar no momento em que voce finalmente se sente com uma boa saúde mental, paz e felicidade nao tem preço. E que tudo continue assim!",0
"Desculpa, mas a minha saúde mental está em primeiro e se alguma coisa me incomoda eu vou dar block pra não ver, simplesssss  https://twitter.com/el15zao/status/1177956765901754370 …",0
Torne prioridade a sua paz interior. Foque na sua saúde mental✨  pic.twitter.com/uawiKEtkgf,0
"Têm profissionais super qualificados por aí sabe. Chega desse tabu, gente. Priorize sua saúde mental e busque ajuda. Isso não significa ser fraco, significa ser forte, que você está pronto para lidar com suas questões.",0
0 saúde mental pra viver nesse mundo às vezes 😓,1
"Se as pessoas fossem verdadeiras com si mesmo, teriam mais saúde mental e paz...",0
pensando em parar de estudar pra assistir branca de neve e o caçador em prol da minha saúde mental,0
Peixes ♓: O URSO Uma semana cansativa a e estressante te aguarda. Aponta desgaste e cansaço após período de luta e esforço. Sua rotina vem exigindo muito de ti e isso pode afetar negativamente sua saúde mental. Também fala amigos te enchendo o saco.  pic.twitter.com/sh0sHRBUZT,0
"Não tenho mais. Eu jogo com a saúde mental debilitada mesmo, desse Bloodborne e Nioh 😂",0
"Simm, se posiciona politicamente, criou uma instituição para a saúde mental dos lgbt, pensa sempre em tudo, para vim esse v14d0 falar uma merda dessas",0
saudades saúde mental,1
tentando preservar minha saúde mental ok,1
eu sou pessimista mas preciso pela minha saude mental fingir que ngm vai morrer,1
Christian Dunker: como está a saúde mental dos estudantes?  https://youtu.be/l7KyYEeFUYQ  via @YouTube,1
"""Não é sinal de boa saúde mental estar bem adaptado a uma socie0dade doente.""  Jiddu Krishnamurti  https://www.facebook.com/1339132604/posts/10220003488821082/ …",1
Acho chique msm quem tem saúde mental,1
"🚩1º Seminário de Saúde Mental no assentamento Contestado, no Paraná, levantou o debate sobre como o momento político tem deixado as pessoas doentes mentalmente  Confira matéria completa:  https://bit.ly/2lXKZUz",0
Manoooo vc acha que tá suave com as coisa do ensino fundamental e médio até tá na frente de quem ajudava fuder sua saúde mental na época.,1
"Eu tô num nível que eu tô gastando muito e acho que real isso tem a ver com minha saúde mental, porque eu sempre fui muito miserável  pic.twitter.com/jRLGo5lcgv",1
Meu tema de tcc será vídeos de gatinhos como fator de proteção da saúde mental: uma análise qualitativa haushaushaus,0
Minha saúde mental tá um lixo... Zero vontade de fazer as coisas,1
Tomara que ainda esteja em cartaz kkkkkkk,0
Eu nunca parei pra pensar na forma como eu saí da vida da pessoa e como isso afetou a saúde mental dela. E acho que a pessoa também nunca parou pra pensar no que fez pra minha pra eu ter me afastado assim.,1
Nenhum salário vale a sua saúde mental  https://osegredo.com.br/nenhum-salario-vale-a-sua-saude-mental/ …,0
Tá com ódio que levou vacina hoje. pic.twitter.com/R3up8OK0L8,0
Já prometi que ia ctg,0
"Concordo! Estavam me jogando muito hate por umas coisas que aconteceram na quinta a noite, eu não sei que necessidade é essa de atacar os outros pela opinião deles, somos pessoas diferentes, eu nunca precisei atacar ninguem pra provar algo, eu hein sou mais minha saude mental!",0
dps de 2014 a minha saude mental foi so ladeira abaixo.. ta feliz relação familiar?????  https://twitter.com/vaiwho/status/1178020406172831752 …,1
Então pensem bem sobre o ato de cancelar ou não alguém pq isso pode ser prejudicial pra muita gente e esse movimento é perigoso demais e pode afetar a  saúde mental de todo mundo a longo prazo. É isso. ✨,1
"não, pelo bem da minha saúde mental",0
"não to dizendo q minha saúde mental tá boa, mas nosa fingir demência sobre td q tá acontecendo realmente me deixou de buenas",1
"meu pai amado eu já não tenho mais idade e muito menos saúde mental pra lidar com certas coisas  então o quanto vocês puderem me poupar, por favor me poupem",1
Cês acharam a que fugiu?,0
sonhei que tava brigando com o psiquiatra pq não tava aguentando mais comprar remédio caro pra não conseguir chorar o auge da saúde mental,1
euphoria nao eh boa pra minha saude mental pq eu sou LOUCA mas eu vou continuar vendo pq eh boa,0
"acho que TODOS saem ganhando, você com seu $$, eu com minha saúde mental e meus times com resultados positivos 😅👍🏾",0
"Mano, terraplanista é sério mesmo né? Sempre achei que fosse meme, tô ficando preocupado com a saúde mental da população mundial",0
1. Reduz seu #Stress. 2. Te deixa #crítico(a). 3. Te deixa #motivado(a). 4. Afia a sua #memória. 5. Melhora a sua #escrita. 6. Promove #saúdemental. 7. Treina o seu #cérebro. 8. Te faz argumentar #melhor. 9. Reforça sua #disciplina. 10. Te faz #evoluir.,0
"melhor experiência humana é conhecer as nossas escolas públicas. nesse #SetembroAmarelo fiquei impressionada como o tema Saúde Mental foi bem trabalhado pelos professores, educadores e alunos. É emocionante ver a resistência da comunidade escolar nessa escassez de recursos. +  pic.twitter.com/oi5DnxHYjT",0
"se for te fazer melhor, dá um tempo no twitter mesmo, é bom cuidar da própria saúde mental",0
eu amo um casal,0
Faculdade acabando com restinho de saúde mental q eu tinha,1
tô zelando é pela minha saúde mental na moral melhor coisa,0
A saúde mental já foi pra casa do caralho.,1
krl q porra esse ano fez com a minha saúde mental???????,1
Eu tô pagando meu intercâmbio com minha saúde mental. Obrigado CAPES,1
mds tem certas coisas que eu nao me submeto NUNCA MAIS pelo bem da minha saude mental já acabada,0
"""vida melhore pfvr, só quero ter uma boa saúde mental""   vida:  N 　 Ã 　　 O 　　　 O 　　　　 o 　　　　　o 　　　　　 o 　　　　　o 　　　　 。 　　　 。 　　.",0
cheguei em casa e a primeira coisa q minha vó disse é q devia ia na nutricionista e ia me levar num spa mas sobre minha saúde mental ela náo pergunta né? arrombada filha da puta espero q morra,0
"é ridículo como alguém q acaba com a saúde mental e física de uma pessoa sai em pune, justiça a #MARIBFERRER",0
Sorte a tua,0
"Para psiquiatra, os danos do cotidiano de violência à saúde mental de moradores da Rocinha é pior do que os de soldados no front de guerra: ""Um soldado que vai atuar nas operações do Irã ou do Iraque é treinado para aquilo....  https://apublica.org/2018/11/sob-o-dominio-do-medo/ …",0
"Kkkkkkkkk oh mulher, os bixim",0
"Desejo forças aí pq o negócio é punk com um, avalie dois.",0
acho incrivel minha mãe pagando de preocupadíssima com a minha saúde mental me incentivando a ir no psicologo e blablabla sendo que nas minhas piores crises ela finge que eu nao existo 👌,1
"A minha caixinha quebrou, tive que apelar pro saco, a pobe não parava de miar, pense no estresse.",0
Se próximo mês chegar mais algo desta merda de seguro eu vou deixar meu nome ficar sujo memo pq não tenho paciência e saúde mental pra isso,0
"""ai pq não tenho saúde mental pra isso""  minha filha não ter saúde mental pra lidar vom certas situações é muito diferente do que você sente quando tá mal com alguma situação, se toca",0
